order_id,customer_id,product_id,order_date,geo_id,channel_id,quantity,unit_price,unit_cost,discount_amount
1,838,4,2024-01-01,4,1,1,349.0,150.0,0.0
2,176,3,2024-01-01,3,2,1,329.0,142.0,0.0
3,1378,5,2024-01-01,8,3,1,349.0,150.0,0.0
4,1617,6,2024-01-01,1,2,1,499.0,215.0,0.0
5,1971,5,2024-01-01,2,2,2,349.0,150.0,0.0
6,760,5,2024-01-01,1,2,1,349.0,150.0,0.0
7,817,3,2024-01-01,2,1,1,329.0,142.0,0.0
8,936,5,2024-01-01,7,1,1,314.1,150.0,34.9
9,252,5,2024-01-01,5,2,1,349.0,150.0,0.0
10,1267,5,2024-01-01,4,1,1,349.0,150.0,0.0
11,1307,6,2024-01-01,2,1,1,499.0,215.0,0.0
12,1654,5,2024-01-01,3,3,1,349.0,150.0,0.0
13,1627,1,2024-01-02,7,5,1,254.15,129.0,44.85
14,1756,5,2024-01-02,4,3,1,349.0,150.0,0.0
15,1782,4,2024-01-02,3,1,1,314.1,150.0,34.9
16,1632,1,2024-01-02,9,2,1,254.15,129.0,44.85
17,1836,4,2024-01-02,1,1,1,349.0,150.0,0.0
18,1543,6,2024-01-02,9,1,1,499.0,215.0,0.0
19,1903,6,2024-01-02,1,1,1,449.1,215.0,49.9
20,976,6,2024-01-02,7,2,1,499.0,215.0,0.0
21,1008,1,2024-01-02,7,3,1,269.1,129.0,29.9
22,1231,1,2024-01-02,5,3,1,254.15,129.0,44.85
23,1340,4,2024-01-02,5,1,1,314.1,150.0,34.9
24,237,2,2024-01-02,4,1,1,299.0,129.0,0.0
25,1930,1,2024-01-02,8,2,1,269.1,129.0,29.9
26,4,3,2024-01-02,2,2,1,329.0,142.0,0.0
27,1580,3,2024-01-02,3,2,1,296.1,142.0,32.9
28,455,1,2024-01-02,2,4,1,269.1,129.0,29.9
29,608,5,2024-01-02,4,1,1,349.0,150.0,0.0
30,1363,5,2024-01-02,2,2,1,349.0,150.0,0.0
31,1737,5,2024-01-03,3,3,1,314.1,150.0,34.9
32,772,1,2024-01-03,5,4,1,299.0,129.0,0.0
33,1914,5,2024-01-03,7,1,1,349.0,150.0,0.0
34,999,5,2024-01-03,7,1,1,314.1,150.0,34.9
35,45,4,2024-01-03,9,3,1,349.0,150.0,0.0
36,801,1,2024-01-03,7,3,1,299.0,129.0,0.0
37,1123,3,2024-01-03,3,4,1,296.1,142.0,32.9
38,1741,6,2024-01-03,3,2,1,499.0,215.0,0.0
39,989,2,2024-01-03,5,3,1,299.0,129.0,0.0
40,19,3,2024-01-03,5,4,1,329.0,142.0,0.0
41,772,6,2024-01-03,7,1,1,449.1,215.0,49.9
42,1996,4,2024-01-04,3,1,2,349.0,150.0,0.0
43,889,6,2024-01-04,1,1,1,499.0,215.0,0.0
44,1001,3,2024-01-04,5,3,1,329.0,142.0,0.0
45,1629,5,2024-01-04,6,2,1,349.0,150.0,0.0
46,1296,5,2024-01-04,1,2,1,349.0,150.0,0.0
47,1370,6,2024-01-04,9,2,1,499.0,215.0,0.0
48,1421,5,2024-01-04,3,2,1,349.0,150.0,0.0
49,889,2,2024-01-04,5,4,1,299.0,129.0,0.0
50,1101,2,2024-01-04,3,2,1,299.0,129.0,0.0
51,1664,4,2024-01-04,3,4,1,314.1,150.0,34.9
52,425,6,2024-01-05,4,1,1,499.0,215.0,0.0
53,1137,4,2024-01-05,3,3,1,349.0,150.0,0.0
54,180,4,2024-01-05,8,2,1,349.0,150.0,0.0
55,745,6,2024-01-05,4,1,1,424.15,215.0,74.85
56,95,6,2024-01-05,4,2,1,449.1,215.0,49.9
57,1182,4,2024-01-05,9,2,1,296.65,150.0,52.35
58,1046,2,2024-01-05,1,1,1,269.1,129.0,29.9
59,614,5,2024-01-05,3,2,1,349.0,150.0,0.0
60,569,1,2024-01-05,1,2,1,299.0,129.0,0.0
61,1851,2,2024-01-06,4,5,1,254.15,129.0,44.85
62,294,4,2024-01-06,9,3,1,349.0,150.0,0.0
63,395,5,2024-01-06,3,1,1,349.0,150.0,0.0
64,1683,2,2024-01-06,1,2,2,299.0,129.0,0.0
65,159,2,2024-01-06,2,1,1,299.0,129.0,0.0
66,183,3,2024-01-06,7,1,1,329.0,142.0,0.0
67,21,1,2024-01-06,8,3,2,299.0,129.0,0.0
